id,ra_deg,dec_deg,magnitude,names
star/j165736+092248,254.4,9.38,3.19,
star/j044948+065736,72.45,6.96,3.19,
star/j233936+773748,354.9,77.63,3.21,
star/j211312+301348,318.3,30.23,3.21,
star/j152136-403900,230.4,-40.65,3.22,
star/j212848+703336,322.19998,70.56,3.23,
star/j201124-004912,302.85,-0.82,3.24,
star/j161836-044124,244.65,-4.69,3.24,
star/j072924-431800,112.35,-43.3,3.25,
star/j150412-251648,226.04999,-25.28,3.25,
star/j185848+324124,284.69998,32.69,3.25,
star/j182136-025400,275.40002,-2.9,3.26,
star/j034724-741424,56.85,-74.24,3.26,
star/j225436-154912,343.65,-15.82,3.27,
star/j140636-264048,211.65,-26.68,3.27,
star/j172212-250000,260.55002,-25.0,3.27,
star/j003936+305136,9.900001,30.86,3.27,
star/j064800-615624,102.0,-61.94,3.27,
star/j101348-700224,153.45,-70.04,3.29,
star/j152512+585812,231.3,58.97,3.29,
star/j051312-161236,78.299995,-16.21,3.29,
star/j043412-550300,68.55,-55.05,3.3,
star/j121536+570148,183.90001,57.03,3.3,
star/j103148-614124,157.95,-61.69,3.3,
star/j061500+223036,93.75,22.51,3.31,
star/j172512-562248,261.3,-56.38,3.31,
star/j030524+385024,46.35,38.84,3.32,
star/j010600-464312,16.5,-46.72,3.32,
star/j175848-094612,269.69998,-9.77,3.32,
star/j190712-274012,286.80002,-27.67,3.32,
star/j111424+152548,168.59999,15.43,3.33,
star/j171200-431424,258.0,-43.24,3.33,
star/j041424-622812,63.6,-62.47,3.33,
star/j074912-245136,117.3,-24.86,3.34,
star/j083000+604312,127.5,60.72,3.35,
star/j015436+634012,28.65,63.67,3.35,
star/j052436-022400,81.149994,-2.4,3.35,
star/j064500+125400,101.25,12.9,3.36,
star/j192512+030636,291.3,3.11,3.36,
star/j133448-003600,203.7,-0.6,3.37,
star/j152248-444124,230.7,-44.69,3.37,
star/j084648+062512,131.7,6.42,3.38,
star/j053524+095548,83.850006,9.93,3.39,
star/j125548+032400,193.95001,3.4,3.39,
