id,ra_deg,dec_deg,magnitude,names
star/j092136-553036,140.4,-55.51,5.61,
star/j133936-400300,204.9,-40.05,5.61,
star/j042924-130300,67.35,-13.05,5.61,
star/j062400-253448,96.0,-25.58,5.61,
star/j154648-344048,236.7,-34.68,5.61,
star/j102512+084648,156.3,8.78,5.61,
star/j074948-331724,117.45,-33.29,5.61,
star/j002136-200336,5.4,-20.06,5.61,
star/j083036-320936,127.65,-32.16,5.61,
star/j134836+311124,207.15001,31.19,5.61,
star/j031536+303336,48.9,30.56,5.61,
star/j094200+394536,145.5,39.76,5.61,
star/j220112+130712,330.30002,13.12,5.61,
star/j173336-054424,263.4,-5.74,5.61,
star/j064012-804836,100.05,-80.81,5.61,
star/j174724+174200,266.85,17.7,5.61,
star/j050336-242324,75.9,-24.39,5.61,
star/j125548+381836,193.95001,38.31,5.61,
star/j020336-040600,30.9,-4.1,5.61,
star/j225136+614200,342.90002,61.7,5.61,
star/j141500-415024,213.75,-41.84,5.61,
star/j035924-123412,59.85,-12.57,5.61,
star/j082436-034500,126.149994,-3.75,5.61,
star/j095136-461124,147.9,-46.19,5.62,
star/j013448-154048,23.7,-15.68,5.62,
star/j175548+222736,268.95,22.46,5.62,
star/j084312+124048,130.8,12.68,5.62,
star/j230636-385324,346.65002,-38.89,5.62,
star/j055248-373748,88.200005,-37.63,5.62,
star/j031836-005548,49.649998,-0.93,5.62,
star/j075136-211012,117.9,-21.17,5.62,
star/j074424-244012,116.1,-24.67,5.62,
star/j200448+321312,301.2,32.22,5.62,
star/j075436-571800,118.649994,-57.3,5.62,
star/j033224+845436,53.1,84.91,5.62,
star/j220600-593824,331.5,-59.64,5.62,
star/j035700+222848,59.25,22.48,5.62,
star/j145624-475248,224.09999,-47.88,5.62,
star/j151536+002212,228.90001,0.37,5.62,
star/j081312+293936,123.3,29.66,5.62,
star/j183524+233636,278.85,23.61,5.62,
star/j115100-051948,177.75,-5.33,5.62,
star/j030224+042100,45.6,4.35,5.62,
star/j093712-321048,144.3,-32.18,5.62,
star/j005848-112248,14.700001,-11.38,5.62,
star/j152324+301724,230.85,30.29,5.62,
star/j061536-003036,93.9,-0.51,5.62,
star/j164124-493900,250.35,-49.65,5.62,
star/j214948-644236,327.45,-64.71,5.62,
star/j055436-114612,88.649994,-11.77,5.62,
star/j185624+651536,284.1,65.26,5.62,
star/j222324-455548,335.84998,-45.93,5.62,
star/j054236+654200,85.65,65.7,5.62,
star/j064536-305700,101.4,-30.95,5.62,
star/j040412-124724,61.050003,-12.79,5.62,
star/j161200+362548,243.00002,36.43,5.62,
star/j062400-364236,96.0,-36.71,5.62,
star/j063448-324312,98.7,-32.72,5.62,
star/j170524-005324,256.35,-0.89,5.63,
star/j183000-184348,277.5,-18.73,5.63,
star/j070412-051912,106.05,-5.32,5.63,
star/j233448+333000,353.7,33.5,5.63,
star/j195324-030636,298.34998,-3.11,5.63,
star/j014200+351500,25.5,35.25,5.63,
star/j104236-324312,160.65,-32.72,5.63,
star/j014048+431800,25.199999,43.3,5.63,
star/j190224-245100,285.6,-24.85,5.63,
star/j163224+053112,248.1,5.52,5.63,
star/j123000-234200,187.5,-23.7,5.63,
star/j084500+100448,131.25,10.08,5.63,
star/j232700-582848,351.75,-58.48,5.63,
star/j145624+493748,224.09999,49.63,5.63,
star/j014800+635100,27.0,63.85,5.63,
star/j214724+024124,326.85,2.69,5.63,
star/j060448+040936,91.2,4.16,5.63,
star/j155548-261612,238.95001,-26.27,5.63,
star/j130712-355136,196.8,-35.86,5.63,
star/j170524+542812,256.35,54.47,5.63,
star/j173112+310936,262.80002,31.16,5.63,
star/j081800+593412,124.5,59.57,5.63,
star/j031948-240712,49.949997,-24.12,5.63,
star/j160748+095324,241.94998,9.89,5.63,
star/j134048+223000,205.20001,22.5,5.63,
star/j210448+053000,316.2,5.5,5.63,
star/j073036+682812,112.65,68.47,5.63,
star/j190448+314424,286.2,31.74,5.63,
star/j202736+382624,306.9,38.44,5.63,
star/j110524-271724,166.35,-27.29,5.63,
star/j212248-224012,320.69998,-22.67,5.63,
star/j182812-390000,277.05,-39.0,5.63,
star/j081948-713036-2,124.95,-71.51,5.63,
star/j133712-614124,204.3,-61.69,5.63,
star/j113448+544724,173.7,54.79,5.63,
star/j202400-422512,306.0,-42.42,5.64,
star/j164500-405024,251.25,-40.84,5.64,
star/j194048-003712,295.2,-0.62,5.64,
star/j073336-192436,113.4,-19.41,5.64,
star/j094348+295812,145.95,29.97,5.64,
star/j021124+083412,32.850002,8.57,5.64,
star/j101048-082512,152.70001,-8.42,5.64,
star/j030636+131124,46.649998,13.19,5.64,
star/j212624-374948,321.6,-37.83,5.64,
star/j045100+484424,72.75,48.74,5.64,
star/j020336+255624,30.9,25.94,5.64,
star/j185400+275436,283.5,27.91,5.64,
star/j113712-755400,174.3,-75.9,5.64,
star/j152812-164312,232.05,-16.72,5.64,
star/j023636+122700,39.149998,12.45,5.64,
star/j113300-402624,173.25,-40.44,5.64,
star/j070112-251312,105.3,-25.22,5.64,
star/j004536+745924,11.4,74.99,5.64,
star/j090148-002848,135.45,-0.48,5.64,
star/j042324+164648,65.85,16.78,5.64,
star/j145924+391612,224.84999,39.27,5.64,
star/j083900+650112,129.75,65.02,5.64,
star/j041836+213448,64.65,21.58,5.64,
star/j145024+823036,222.6,82.51,5.64,
star/j071536+471424,108.9,47.24,5.64,
star/j161424+335136,243.59999,33.86,5.64,
star/j223000+323412,337.5,32.57,5.64,
star/j170000-543600,255.0,-54.6,5.64,
star/j131424+111948,198.59999,11.33,5.64,
star/j071612-464612,109.05,-46.77,5.64,
star/j193600-244312,294.0,-24.72,5.64,
star/j052024+623900,80.100006,62.65,5.64,
star/j154012-732700,235.05,-73.45,5.64,
star/j211200+595924,318.0,59.99,5.64,
star/j182548+080148,276.45,8.03,5.64,
star/j074236-262100,115.65,-26.35,5.64,
star/j052436-165848,81.149994,-16.98,5.64,
star/j113524-472212,173.85,-47.37,5.64,
star/j010448+145700,16.2,14.95,5.64,
star/j130600+451612,196.5,45.27,5.64,
star/j183000+773300,277.5,77.55,5.65,
star/j124612+093224,191.55,9.54,5.65,
star/j065324-190148,103.35,-19.03,5.65,
star/j152324-603936,230.85,-60.66,5.65,
star/j173336+191536,263.4,19.26,5.65,
star/j023748-032400,39.45,-3.4,5.65,
star/j220112+081536,330.30002,8.26,5.65,
star/j151948+515736,229.95,51.96,5.65,
star/j105400-134536,163.5,-13.76,5.65,
star/j150148-831348,225.45,-83.23,5.65,
star/j232100-265924,350.25,-26.99,5.65,
star/j153748+691648,234.45,69.28,5.65,
star/j172548+600300,261.45,60.05,5.65,
star/j132924+104912,202.34999,10.82,5.65,
star/j152136-481912,230.4,-48.32,5.65,
star/j045848-162248,74.7,-16.38,5.65,
star/j034948+445812,57.449997,44.97,5.65,
star/j145848-273936,224.7,-27.66,5.65,
star/j191612+143224,289.05002,14.54,5.65,
star/j003524-033524,8.849999,-3.59,5.65,
star/j150448-830224,226.2,-83.04,5.65,
star/j053712-802812,84.299995,-80.47,5.65,
star/j201424-522700,303.6,-52.45,5.65,
star/j094612+014724,146.55,1.79,5.65,
star/j060412-321012,91.05,-32.17,5.65,
star/j132548-703748,201.45001,-70.63,5.65,
star/j124836-273600,192.15001,-27.6,5.65,
star/j080112+045248,120.3,4.88,5.65,
star/j072700-230524,111.75,-23.09,5.65,
star/j191500+211348,288.75,21.23,5.65,
star/j060036-511312,90.15,-51.22,5.65,
star/j121200+255212,183.0,25.87,5.66,
star/j203224-095100,308.1,-9.85,5.66,
star/j034500+245024,56.25,24.84,5.66,
star/j233748-130336,354.44998,-13.06,5.66,
star/j230000-250936,345.0,-25.16,5.66,
star/j092924-204500,142.34999,-20.75,5.66,
star/j163000-143300,247.5,-14.55,5.66,
star/j035212+063148,58.05,6.53,5.66,
star/j135512-520936,208.8,-52.16,5.66,
star/j205136+281500,312.90002,28.25,5.66,
star/j105100+563448,162.75,56.58,5.66,
star/j200036-334200,300.15,-33.7,5.66,
star/j073636+461048,114.15,46.18,5.66,
star/j122324-245024,185.85,-24.84,5.66,
star/j073600-142924,114.0,-14.49,5.66,
star/j192700-294424,291.75,-29.74,5.66,
star/j052100+293412,80.25,29.57,5.66,
star/j020824+582512,32.100002,58.42,5.66,
star/j013712-844612,24.3,-84.77,5.66,
star/j102024-474200,155.1,-47.7,5.66,
star/j171200-393036,258.0,-39.51,5.66,
star/j173148+282436,262.95,28.41,5.66,
star/j034612+454048,56.55,45.68,5.66,
star/j004424+475136,11.1,47.86,5.66,
star/j223900-330448,339.75,-33.08,5.66,
star/j231648-620000,349.2,-62.0,5.66,
star/j214200+011724,325.5,1.29,5.66,
star/j044312-304612,70.799995,-30.77,5.66,
star/j083824+532400,129.6,53.4,5.66,
star/j213824+054612,324.59998,5.77,5.66,
star/j101912-644048,154.79999,-64.68,5.66,
star/j193712-181348,294.30002,-18.23,5.66,
star/j080936-560524,122.399994,-56.09,5.66,
star/j001612-312700,4.05,-31.45,5.66,
star/j044124+481800,70.35,48.3,5.66,
star/j080900-484048,122.24999,-48.68,5.66,
star/j232848-630636,352.19998,-63.11,5.66,
star/j080936-161500,122.399994,-16.25,5.66,
star/j064648-100636,101.700005,-10.11,5.66,
star/j003036-481236,7.6499996,-48.21,5.67,
star/j183336-384348,278.4,-38.73,5.67,
star/j053448-060036,83.7,-6.01,5.67,
star/j053336+183224,83.4,18.54,5.67,
star/j051048+465736,77.7,46.96,5.67,
star/j162400+614200,246.0,61.7,5.67,
star/j021236-022324,33.15,-2.39,5.67,
star/j000748-333148,1.9499999,-33.53,5.67,
star/j212436+261012,321.15,26.17,5.67,
star/j043412+053412,68.55,5.57,5.67,
star/j041800-801236,64.5,-80.21,5.67,
star/j040148+100000,60.450005,10.0,5.67,
star/j082436-805436,126.149994,-80.91,5.67,
star/j060448+052512,91.2,5.42,5.67,
star/j033224-502248,53.1,-50.38,5.67,
star/j082512-230900,126.3,-23.15,5.67,
star/j084048-451124,130.20001,-45.19,5.67,
star/j103448+083900,158.7,8.65,5.67,
star/j011012+420448,17.55,42.08,5.67,
star/j205136-622548,312.90002,-62.43,5.67,
star/j021536-674500,33.9,-67.75,5.67,
star/j185700+574836,284.25,57.81,5.67,
star/j030748-785924,46.95,-78.99,5.67,
star/j150824+261800,227.1,26.3,5.67,
star/j094612+114836,146.55,11.81,5.67,
star/j144048-360748,220.20001,-36.13,5.67,
star/j162812-583600,247.04999,-58.6,5.67,
star/j193712+162736,294.30002,16.46,5.67,
star/j061948+143900,94.95,14.65,5.67,
star/j110448-474048,166.2,-47.68,5.67,
star/j200412-004236,301.05,-0.71,5.67,
star/j085248+322812,133.2,32.47,5.67,
star/j181012+030712,272.55,3.12,5.67,
star/j161200-282512,243.00002,-28.42,5.67,
star/j134648+542548,206.7,54.43,5.68,
star/j204200+414312,310.5,41.72,5.68,
star/j144912-241500,222.29999,-24.25,5.68,
star/j195024+403600,297.6,40.6,5.68,
star/j123000+205400,187.5,20.9,5.68,
star/j065212+233600,103.049995,23.6,5.68,
star/j000448+671012,1.1999999,67.17,5.68,
star/j045248+423524,73.200005,42.59,5.68,
star/j085736+153448,134.4,15.58,5.68,
star/j230748+491800,346.94998,49.3,5.68,
star/j144536+004312,221.40001,0.72,5.68,
star/j070900-703000-2,107.25,-70.5,5.68,
star/j203900+301948,309.75,30.33,5.68,
star/j144948+484312,222.45,48.72,5.68,
star/j230112-505700,345.30002,-50.95,5.68,
star/j052136-002512,80.4,-0.42,5.68,
star/j231048+173524,347.7,17.59,5.68,
star/j115024-623900,177.6,-62.65,5.68,
star/j033000-782100,52.5,-78.35,5.68,
star/j123824+015100,189.6,1.85,5.68,
star/j083148-531236,127.95,-53.21,5.68,
star/j224800-140336,342.0,-14.06,5.68,
star/j233636+020600,354.15002,2.1,5.68,
star/j065024+132436,102.600006,13.41,5.68,
star/j212212+492324,320.55002,49.39,5.68,
star/j185400-212136,283.5,-21.36,5.68,
star/j195924+230600,299.85,23.1,5.68,
star/j171836+284912,259.65,28.82,5.68,
star/j073824-483600,114.6,-48.6,5.68,
star/j175024-533636,267.6,-53.61,5.68,
star/j173336+161912,263.4,16.32,5.68,
star/j184348+315548,280.94998,31.93,5.68,
star/j100300+215700,150.75,21.95,5.68,
star/j205548+472512,313.95,47.42,5.68,
star/j034236+194200,55.65,19.7,5.68,
star/j093712-251800,144.3,-25.3,5.68,
star/j230936+591948,347.4,59.33,5.68,
star/j151836+203412,229.65001,20.57,5.68,
star/j202548+212436,306.45,21.41,5.68,
star/j122736+554236,186.9,55.71,5.68,
star/j021048+193000,32.7,19.5,5.68,
star/j173448-323448,263.7,-32.58,5.69,
star/j132136+020524,200.4,2.09,5.69,
star/j075212-145100,118.049995,-14.85,5.69,
star/j013336+581948,23.4,58.33,5.69,
star/j180000+453000,270.0,45.5,5.69,
star/j200148-133824,300.45,-13.64,5.69,
star/j160824+083148,242.09999,8.53,5.69,
star/j132700-413000,201.75,-41.5,5.69,
star/j183000-471312,277.5,-47.22,5.69,
star/j172136+532512,260.40002,53.42,5.69,
star/j110600-271724,166.5,-27.29,5.69,
star/j010000+444236,15.0,44.71,5.69,
star/j073636-484948,114.15,-48.83,5.69,
star/j210600-300712,316.5,-30.12,5.69,
star/j073636-194200,114.15,-19.7,5.69,
star/j210036+191948,315.15,19.33,5.69,
star/j220524+285736,331.35,28.96,5.69,
star/j052700+301236,81.75,30.21,5.69,
star/j133224-284124,203.1,-28.69,5.69,
star/j052400-000936,81.0,-0.16,5.69,
star/j013600-295436,24.0,-29.91,5.69,
star/j214312+381648,325.8,38.28,5.69,
star/j215324+194012,328.34998,19.67,5.69,
star/j185624+180636,284.1,18.11,5.69,
star/j025924-251612,44.85,-25.27,5.69,
star/j041648+615100,64.200005,61.85,5.69,
star/j184648-100748,281.7,-10.13,5.69,
star/j063148-584500,97.950005,-58.75,5.69,
star/j170112+223748,255.3,22.63,5.69,
star/j174836+203412,267.15,20.57,5.69,
star/j140524-764800,211.35,-76.8,5.69,
star/j202100+635848,305.25,63.98,5.69,
star/j203900+131912,309.75,13.32,5.69,
star/j121612+403936,184.05,40.66,5.69,
star/j003224+065736,8.1,6.96,5.69,
star/j070112+704836,105.3,70.81,5.69,
star/j070936-251348,107.399994,-25.23,5.69,
star/j015624+371500,29.1,37.25,5.69,
star/j172400-625136,261.0,-62.86,5.69,
star/j190112+261724,285.30002,26.29,5.69,
star/j041048-084912,62.699997,-8.82,5.7,
star/j160600-722400,241.5,-72.4,5.7,
star/j071912-162324,109.8,-16.39,5.7,
star/j075212-542212,118.049995,-54.37,5.7,
star/j014200-364948,25.5,-36.83,5.7,
star/j101200-580336,153.0,-58.06,5.7,
star/j130748-532736,196.95,-53.46,5.7,
star/j015212+504724,28.05,50.79,5.7,
star/j063824+392324,99.6,39.39,5.7,
star/j192924-432624,292.35,-43.44,5.7,
star/j105924-334424,164.84999,-33.74,5.7,
star/j072848+481048,112.2,48.18,5.7,
star/j050712+183900-2,76.799995,18.65,5.7,
star/j063936-302812,99.899994,-30.47,5.7,
star/j201536+334348,303.9,33.73,5.7,
star/j151200-484424-2,228.0,-48.74,5.7,
star/j212400+241612,321.0,24.27,5.7,
star/j215212+554800,328.05002,55.8,5.7,
star/j195436-081348,298.65,-8.23,5.7,
star/j014200-604724,25.5,-60.79,5.7,
star/j100412-241724,151.04999,-24.29,5.7,
star/j213448-200448,323.7,-20.08,5.7,
star/j061724+050600,94.35,5.1,5.7,
star/j144312-250000,220.8,-25.0,5.7,
star/j235024-142400,357.6,-14.4,5.7,
star/j125100-524724,192.75,-52.79,5.7,
star/j000224+082924,0.59999996,8.49,5.7,
star/j201124+620448,302.85,62.08,5.7,
star/j192736-541948,291.9,-54.33,5.7,
star/j110900+243936,167.25,24.66,5.7,
star/j055848+124836,89.7,12.81,5.7,
star/j032100+034048,50.25,3.68,5.7,
star/j223224+761348,338.1,76.23,5.7,
star/j133524-052400,203.85,-5.4,5.7,
star/j011500-005812,18.75,-0.97,5.7,
star/j084612-020300,131.55,-2.05,5.7,
star/j015848+491200,29.7,49.2,5.7,
star/j004800-180336,12.0,-18.06,5.7,
star/j205700-261800,314.25,-26.3,5.7,
star/j135400+534348,208.5,53.73,5.7,
star/j035436-402136,58.65,-40.36,5.7,
star/j060900+023000,92.25,2.5,5.7,
star/j172400+225736,261.0,22.96,5.7,
star/j123712+170524,189.3,17.09,5.7,
star/j182324-120036,275.84998,-12.01,5.71,
star/j121724+285624,184.35,28.94,5.71,
star/j180936+035924,272.4,3.99,5.71,
star/j212512-094500,321.3,-9.75,5.71,
star/j135324+175548,208.35,17.93,5.71,
star/j060112+475400,90.3,47.9,5.71,
star/j200336+295400,300.9,29.9,5.71,
star/j215400-041648,328.5,-4.28,5.71,
star/j113636-333412,174.15,-33.57,5.71,
star/j195548+163748,298.95,16.63,5.71,
star/j154724+140712,236.85,14.12,5.71,
star/j095436-501424,148.65,-50.24,5.71,
star/j124912+140712,192.29999,14.12,5.71,
star/j071424+120712,108.6,12.12,5.71,
star/j050524-260900,76.350006,-26.15,5.71,
star/j125100-601948,192.75,-60.33,5.71,
star/j053636-060336,84.15,-6.06,5.71,
star/j192624-150300,291.6,-15.05,5.71,
star/j060936-224612,92.399994,-22.77,5.71,
star/j032736-354048,51.9,-35.68,5.71,
star/j184836-650448,282.15,-65.08,5.71,
star/j084724-460936,131.85,-46.16,5.71,
star/j100448+535324,151.2,53.89,5.71,
star/j043412-064424,68.55,-6.74,5.71,
star/j082212-173524,125.549995,-17.59,5.71,
star/j001348+410224,3.45,41.04,5.71,
star/j201948+621536,304.95,62.26,5.71,
star/j000112-484836,0.29999998,-48.81,5.71,
star/j063636-183936,99.15,-18.66,5.71,
star/j085512-545812,133.8,-54.97,5.71,
star/j000636-490448,1.65,-49.08,5.71,
star/j010748-094724,16.95,-9.79,5.71,
star/j183148-433036,277.95,-43.51,5.71,
star/j045512-164424,73.8,-16.74,5.71,
star/j152736-643148,231.9,-64.53,5.71,
star/j182812+061124,277.05,6.19,5.71,
star/j110936+361836,167.4,36.31,5.71,
star/j122512-351124,186.3,-35.19,5.71,
star/j041124+053112,62.850002,5.52,5.71,
star/j083148+240448,127.95,24.08,5.71,
star/j103636-121348,159.15,-12.23,5.71,
star/j045512-162512,73.8,-16.42,5.71,
star/j150148-000824,225.45,-0.14,5.71,
star/j031236-571912,48.15,-57.32,5.71,
star/j161536+184836,243.90001,18.81,5.72,
star/j223336+563712,338.4,56.62,5.72,
star/j173300+411424,263.25,41.24,5.72,
star/j121012+054836,182.55,5.81,5.72,
star/j152400-122212,231.0,-12.37,5.72,
star/j094200+691424,145.5,69.24,5.72,
star/j054724+142924,86.85,14.49,5.72,
star/j221500+425700,333.75,42.95,5.72,
star/j021312+151648,33.3,15.28,5.72,
star/j032812+334836,52.05,33.81,5.72,
star/j091200-194500,138.0,-19.75,5.72,
star/j024124-004200,40.350002,-0.7,5.72,
star/j095400-451648,148.5,-45.28,5.72,
star/j160712-364536,241.80002,-36.76,5.72,
star/j002512+530300,6.2999997,53.05,5.72,
star/j041724+575136,64.35,57.86,5.72,
star/j061048-270900,92.7,-27.15,5.72,
star/j031836-183336,49.649998,-18.56,5.72,
star/j044500-211648,71.25,-21.28,5.72,
star/j180600+321348,271.5,32.23,5.72,
star/j083524-075848,128.85,-7.98,5.72,
star/j092812+081124,142.05,8.19,5.72,
star/j141648-663524,214.2,-66.59,5.72,
star/j004200-563000,10.5,-56.5,5.72,
star/j172812-521800,262.05,-52.3,5.72,
star/j075136-135400,117.9,-13.9,5.72,
star/j225700-475812,344.25,-47.97,5.72,
star/j034500-472136,56.25,-47.36,5.72,
star/j042812+213712,67.049995,21.62,5.72,
star/j064948+323636,102.45,32.61,5.72,
star/j121500+701200,183.75,70.2,5.72,
star/j063712-365924,99.299995,-36.99,5.72,
star/j192512-135400,291.3,-13.9,5.72,
star/j152248+632024,230.7,63.34,5.72,
star/j225512-045924,343.8,-4.99,5.72,
star/j042212+140448,65.549995,14.08,5.72,
star/j133712+243636,204.3,24.61,5.72,
star/j145700+162324,224.25,16.39,5.72,
star/j023524+371836,38.85,37.31,5.72,
star/j235736-821012,359.4,-82.17,5.72,
star/j180148-224648,270.45,-22.78,5.72,
star/j003000-035736,7.5,-3.96,5.72,
star/j085700+453748,134.25,45.63,5.72,
star/j144348+402736,220.95,40.46,5.72,
star/j060600-660224,91.5,-66.04,5.72,
star/j224048+143300,340.2,14.55,5.72,
star/j095024-465548,147.6,-46.93,5.72,
star/j071500-465100,108.75,-46.85,5.72,
star/j085324+615736,133.35,61.96,5.72,
star/j211536-531536,318.9,-53.26,5.73,
star/j112548+555100,171.45001,55.85,5.73,
star/j081012+253036,122.55,25.51,5.73,
star/j192736+521912,291.9,52.32,5.73,
star/j134048+195736,205.20001,19.96,5.73,
star/j073936-380824,114.899994,-38.14,5.73,
star/j042436+340748,66.149994,34.13,5.73,
star/j190300-381500,285.75,-38.25,5.73,
star/j214236+410448,325.65,41.08,5.73,
star/j070000+160448,105.0,16.08,5.73,
star/j114948+345548,177.45,34.93,5.73,
star/j093712+162624,144.3,16.44,5.73,
star/j160336+764724,240.9,76.79,5.73,
star/j054312-183336,85.799995,-18.56,5.73,
star/j105512+340148,163.8,34.03,5.73,
star/j200336+160148,300.9,16.03,5.73,
star/j174312+241948,265.8,24.33,5.73,
star/j133636-263000,204.15,-26.5,5.73,
star/j165024+294836,252.6,29.81,5.73,
star/j052324-394048,80.85,-39.68,5.73,
star/j170412-574236,256.05,-57.71,5.73,
star/j202700+492248,306.75,49.38,5.73,
star/j184500+373524,281.25,37.59,5.73,
star/j223600+393748,339.0,39.63,5.73,
star/j005324-625212,13.349999,-62.87,5.73,
star/j201500-270148,303.75,-27.03,5.73,
star/j081912+623036,124.799995,62.51,5.73,
star/j063224-320148,98.1,-32.03,5.73,
star/j135136-692400,207.9,-69.4,5.73,
star/j155548+423412,238.95001,42.57,5.73,
star/j122212-681836,185.55,-68.31,5.73,
star/j170524+542812-2,256.35,54.47,5.73,
star/j213600-261012,324.0,-26.17,5.73,
star/j114124+314500,175.34999,31.75,5.73,
star/j044124+283712,70.35,28.62,5.73,
star/j225548+362100,343.95,36.35,5.73,
star/j193412+511424,293.55,51.24,5.73,
star/j234424-642400,356.1,-64.4,5.73,
star/j024536-634200,41.4,-63.7,5.73,
star/j090900-181948,137.25,-18.33,5.73,
star/j143636-401236,219.15,-40.21,5.74,
star/j023600-300224,39.0,-30.04,5.74,
star/j143824+433824,219.6,43.64,5.74,
star/j155100-550336,237.75,-55.06,5.74,
star/j173824-105548,264.59998,-10.93,5.74,
star/j153112+641236,232.8,64.21,5.74,
star/j070748+072812,106.950005,7.47,5.74,
star/j155848-650224,239.7,-65.04,5.74,
star/j135436-673900,208.65,-67.65,5.74,
star/j220712+192848,331.80002,19.48,5.74,
star/j143224+552400,218.1,55.4,5.74,
star/j075624-603148,119.1,-60.53,5.74,
star/j164612-583000,251.55,-58.5,5.74,
star/j183748+623148,279.44998,62.53,5.74,
star/j082548+020600,126.450005,2.1,5.74,
star/j144612-472624,221.55,-47.44,5.74,
star/j171948+800824,259.95,80.14,5.74,
star/j112924+152436,172.34999,15.41,5.74,
star/j175848-365136,269.69998,-36.86,5.74,
star/j042736-623112,66.9,-62.52,5.74,
star/j053636+542548,84.15,54.43,5.74,
star/j024236+200036,40.65,20.01,5.74,
star/j213900+572924,324.75,57.49,5.74,
star/j084500-370900,131.25,-37.15,5.74,
star/j065512+252248,103.8,25.38,5.74,
star/j234724-115436,356.85,-11.91,5.74,
star/j034236+595812,55.65,59.97,5.74,
star/j072100+451348,110.25,45.23,5.74,
star/n96_g_psc,12.15,5.28,5.74,96 G. Psc
star/j132700+783824,201.75,78.64,5.74,
star/j215436+563636,328.65,56.61,5.74,
star/j164200+011048,250.50002,1.18,5.74,
star/j104348-641500,160.95,-64.25,5.74,
star/j060712-214836,91.799995,-21.81,5.74,
star/j234424-784724,356.1,-78.79,5.74,
star/j123224-135136,188.1,-13.86,5.74,
star/j065024-314236,102.600006,-31.71,5.74,
star/j134012-495700,205.05,-49.95,5.74,
star/j143448+492212,218.7,49.37,5.74,
star/j023448-075136,38.699997,-7.86,5.74,
star/j062848-322212,97.2,-32.37,5.74,
star/j170000-245924,255.0,-24.99,5.74,
star/j180000+800000,270.0,80.0,5.74,
star/j195848-690936,299.69998,-69.16,5.74,
star/j111348-593712,168.45,-59.62,5.74,
star/j032812-111724,52.05,-11.29,5.74,
star/j151648-605400,229.2,-60.9,5.74,
star/j161124+232924,242.85,23.49,5.74,
star/j180600-044500,271.5,-4.75,5.74,
star/j090412+541648,136.04999,54.28,5.74,
star/j030936+290448,47.4,29.08,5.74,
star/j183336-145100,278.4,-14.85,5.74,
star/j104200+682624,160.5,68.44,5.74,
star/j113224+610448,173.1,61.08,5.74,
star/j101800+650636,154.5,65.11,5.74,
star/j183000-573112,277.5,-57.52,5.74,
star/j092212-460300,140.55,-46.05,5.74,
star/j001648+613148,4.2,61.53,5.74,
star/j050300-224800,75.75,-22.8,5.74,
star/j093224-192400,143.1,-19.4,5.74,
star/j065248+082248,103.200005,8.38,5.75,
star/j204124-313600,310.35,-31.6,5.75,
star/j232400-515324,351.0,-51.89,5.75,
star/j064012+780000,100.05,78.0,5.75,
star/j030112-073936,45.3,-7.66,5.75,
star/j150824-403448,227.1,-40.58,5.75,
star/j210824-635548,317.09998,-63.93,5.75,
star/j151012-261948,227.55,-26.33,5.75,
star/j014200-111912,25.5,-11.32,5.75,
star/j071124+265136,107.85,26.86,5.75,
star/j125324-601948,193.35,-60.33,5.75,
star/j221724-052324,334.35,-5.39,5.75,
star/j071612+275400,109.05,27.9,5.75,
star/j111348-531348,168.45,-53.23,5.75,
star/j160748-124500,241.94998,-12.75,5.75,
star/j204236+823148,310.65,82.53,5.75,
star/j221800+624800,334.5,62.8,5.75,
star/j162436+551236,246.15,55.21,5.75,
star/j163636-021912,249.15001,-2.32,5.75,
star/j211912+493036,319.8,49.51,5.75,
star/j120900-441948,182.25,-44.33,5.75,
star/j232700+425436,351.75,42.91,5.75,
star/j132512+235100,201.3,23.85,5.75,
star/j200036-665700,300.15,-66.95,5.75,
star/j053300-350824,83.25,-35.14,5.75,
star/j194836+114912,297.15,11.82,5.75,
star/j064836-011912,102.15,-1.32,5.75,
star/j064912-021612,102.3,-2.27,5.75,
star/j013336-070148,23.4,-7.03,5.75,
star/j062848+302924,97.2,30.49,5.75,
star/j093036-315324,142.65001,-31.89,5.75,
star/j222624+042324,336.6,4.39,5.75,
star/j070712-235024,106.799995,-23.84,5.75,
star/j060936+230636,92.399994,23.11,5.75,
star/j041048+333524,62.699997,33.59,5.75,
star/j085512-181424,133.8,-18.24,5.75,
star/j095924+293900,149.84999,29.65,5.75,
star/j174348+534800,265.94998,53.8,5.75,
star/j003300-630148,8.25,-63.03,5.75,
star/j220524+264012,331.35,26.67,5.75,
star/j021800+575400,34.5,57.9,5.75,
star/j045624+525212,74.1,52.87,5.75,
star/j212812+321348,322.05,32.23,5.75,
star/j051424-355848,78.6,-35.98,5.75,
star/j172436+161800,261.15,16.3,5.75,
star/j082812-350636,127.05,-35.11,5.75,
star/j211012+533336,317.55,53.56,5.75,
star/n33_g_lib,224.4,-21.41,5.75,33 G. Lib
star/j151424-700448,228.59999,-70.08,5.75,
star/j125512+471200,193.8,47.2,5.75,
star/j072924-101948,112.35,-10.33,5.75,
star/j033000-423748,52.5,-42.63,5.76,
star/j062548-481048,96.45,-48.18,5.76,
star/j170224+253036,255.6,25.51,5.76,
star/j015548+233448,28.949999,23.58,5.76,
star/j192624+130112,291.6,13.02,5.76,
star/j203300-805736,308.25,-80.96,5.76,
star/j131236+113336,198.15,11.56,5.76,
