Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
M104|sombrero_galaxy,Galaxy,12.66667,-11.61667,8.3,8.9,NGC4594,Virgo,Spiral Galaxy,Sombrero Galaxy
M105,Galaxy,10.79667,12.58333,9.3,4.5,NGC3379,Leo,Elliptical Galaxy,
M106,Galaxy,12.31667,47.3,8.3,18.2,NGC4258,Canes Venaciti,Spiral Galaxy,
M107,Globular Cluster,16.54167,-13.05,8.1,10,NGC6171,Ophiuchus,Globular Cluster,
M108,Galaxy,11.19167,55.66667,10.1,8.3,NGC3556,Ursa Major,Spiral Galaxy,
M109,Galaxy,11.96,53.38333,9.8,7.6,NGC3992,Ursa Major,Spiral Galaxy,
M110,Galaxy,0.67333,41.68333,8,17.4,NGC205,Andromeda,Elliptical Galaxy,A Satellite of the Andromeda Galaxy M31
NGC6543|cats eye nebula,Nebula,17.97595,66.6332,9.8,0.33,NGC6543,Draco,Planetary Nebula,Cat's Eye Nebula
NGC5139|omega centauri,Globular Cluster,13.44608,-47.47686,3.7,36.3,NGC5139,Centaurus,Globular Cluster,Omega Centauri
V838 Mon,Other,7.06801,-3.84725,15.74,0.1,V838,Monoceros,Other,V838 Monocerotis
HDF|hubble deep field,Hubble,12.613722,62.21611,20,0.1,HDF,Ursa Major,Other,Hubble Deep Field



